"","MeanDecreaseGini"
"L1Norm.1",3.34703485736667
"L1Norm.2",0.707369083460749
"L1Norm.3",0.847036971913058
"L1Norm.4",0.618509613735385
"L1Norm.5",0.969724687701859
"L1Norm.6",0.894182965210093
"L1Norm.7",0.724527323870455
"L1Norm.8",0.866258255652131
"L1Norm.9",0.585084819147663
"L1Norm.10",0.657821022278685
"L1Norm.11",0.727626453787342
"L1Norm.12",0.762961274770614
"L1Norm.13",0.637377999178555
"L1Norm.14",0.614922763021895
"L1Norm.15",0.699331190783994
"L1Norm.16",0.838950758568086
"L1Norm.17",1.03922550866691
"L1Norm.18",0.823724970401365
"L1Norm.19",0.507066084326123
"L1Norm.20",1.05130251740327
"L1Norm.21",0.599569106509574
"L1Norm.22",0.974815953375223
"L1Norm.23",0.402826348960266
"L1Norm.24",0.680393121949828
"L1Norm.25",0.611852473475196
"L1Norm.26",0.600610969388495
"L1Norm.27",0.567605444363441
"L1Norm.28",0.612766148256055
"L1Norm.29",0.686818062723919
"L1Norm.30",1.11009484342712
"L1Norm.31",0.427698252065222
"L1Norm.32",0.523809335278072
"L1Norm.33",0.805897446469381
"L1Norm.34",0.623726352913376
"L1Norm.35",0.471482778612595
"L1Norm.36",1.18722705578064
"L1Norm.37",0.580256657957644
"L1Norm.38",0.595724175620369
"L1Norm.39",0.61261891253799
"L1Norm.40",0.77536987939594
"L1Norm.41",0.710339897973097
"L1Norm.42",0.621469677597738
"L1Norm.43",0.606292844324296
"L1Norm.44",0.543325073438236
"L1Norm.45",0.574253614065881
"L1Norm.46",0.852588145159199
"L1Norm.47",0.578007952637575
"L1Norm.48",0.567833038135519
"L1Norm.49",0.571735563141426
"L1Norm.50",0.632721956506711
"L1Norm.51",0.570758827821558
"L1Norm.52",0.53662431895067
"L1Norm.53",0.60359197513825
"L1Norm.54",0.460101924591692
"L1Norm.55",0.360819142123833
"L1Norm.56",0.51068069969676
"L1Norm.57",0.53028529795599
"L1Norm.58",0.486794801368014
"L1Norm.59",0.37269780142763
"L1Norm.60",0.464231561124956
"L1Norm.61",0.553405908935176
"L1Norm.62",0.476136258278943
"L1Norm.63",0.296788621856107
"L1Norm.64",0.632350083287218
"L1Norm.65",0.749874865776158
"L1Norm.66",0.576897165557295
"L1Norm.67",0.765273929079935
"L1Norm.68",0.647583819534165
"L1Norm.69",0.603368680656916
"L1Norm.70",0.528414215717956
"L1Norm.71",0.371348907127163
"L1Norm.72",0.374264560537182
"L1Norm.73",0.488654611254761
"L1Norm.74",0.504103930381763
"L1Norm.75",0.733802278592779
"L1Norm.76",0.37888777187087
"L1Norm.77",0.402574772611758
"L1Norm.78",0.506457473008099
"L1Norm.79",0.962484491182671
"L1Norm.80",0.398265345094014
"L1Norm.81",0.37083788300911
"L1Norm.82",0.350733585581477
"L1Norm.83",0.542820048261219
"L1Norm.84",0.345734919393636
"L1Norm.85",0.363864082414922
"L1Norm.86",0.473118991779893
"L1Norm.87",0.542001051544038
"L1Norm.88",0.785463003227536
"L1Norm.89",0.34747195163686
"L1Norm.90",0.541229317774206
"L1Norm.91",0.522748909849109
"L1Norm.92",0.36492440978518
"L1Norm.93",0.798674503565376
"L1Norm.94",0.725872608395931
"L1Norm.95",0.886329369097191
"L1Norm.96",0.424296765670697
"L1Norm.97",0.720117547495423
"L1Norm.98",0.390480975088881
"L1Norm.99",0.934260944615676
"L1Norm.100",0.574585217815499
"L1Norm.101",0.573962397445284
"L1Norm.102",0.693649011049954
"L1Norm.103",0.637802379277844
"L1Norm.104",0.498712704690656
"L1Norm.105",0.375863181514315
"L1Norm.106",0.601683143230225
"L1Norm.107",0.583416937854321
"L1Norm.108",0.487671046114804
"L1Norm.109",0.41991939759172
"L1Norm.110",0.654526286186337
"L1Norm.111",0.438429846493657
"L1Norm.112",0.643392491501207
"L1Norm.113",0.458904622795961
"L1Norm.114",0.462062183761177
"L1Norm.115",0.431575289073645
"L1Norm.116",0.586874003360895
"L1Norm.117",0.758770529585623
"L1Norm.118",0.689700570743147
"L1Norm.119",0.535150592557551
"L1Norm.120",0.580111603126405
"L1Norm.121",0.501322823511002
"L1Norm.122",0.629729528654832
"L1Norm.123",0.482206620500745
"L1Norm.124",0.378533999078337
"L1Norm.125",0.318609276897896
"L1Norm.126",0.343456434077065
"L1Norm.127",0.469509119953767
"L1Norm.128",0.50522169427671
"L1Norm.129",0.477825551935989
"L1Norm.130",0.513373500727491
"L1Norm.131",0.689755521188033
"L1Norm.132",0.642138639248987
"L1Norm.133",0.505093965469607
"L1Norm.134",0.351005424341395
"L1Norm.135",0.429781128231204
"L1Norm.136",0.562445043417604
