"","X.log10P","log2FC","feature","SigDiff","norm"
"inadur.1",7.39837452044606,0.582519265002402,"inadur.1","UP",7.42127173999742
"inadist.1",6.4671182805926,0.537604783362879,"inadist.1","UP",6.48942507147356
"smlct.1",6.08791085685252,0.526562343829054,"smlct.1","UP",6.11064043312332
"smldist.1",7.40428338005658,0.735074570295632,"smldist.1","UP",7.44068189053109
"inadur.160",4.39670093655649,0.392467963367976,"inadur.160","UP",4.41418284938299
"inadur.162",4.41155614348961,0.400471265134183,"inadur.162","UP",4.42969579557774
"inadur.176",4.2713926153544,0.385001833019469,"inadur.176","UP",4.28870858020598
"inadur.222",4.87382219127615,0.405370675381118,"inadur.222","UP",4.89065109536908
