"","X.log10P","log2FC","feature","SigDiff","norm"
"L2Norm.2",13.9362914406086,0.647081812801472,"L2Norm.2","UP",13.9513058166624
"L2Norm.3",7.10374943753836,0.673347817526666,"L2Norm.3","UP",7.13559061008229
"L2Norm.7",6.67366413907125,0.616447858675992,"L2Norm.7","UP",6.70207438063707
