X.log10P,log2FC,feature
4.01502287358451,0.401558031018772,L2Norm.1
0.00348832784582135,-0.0534022570739991,L2Norm.2
0.22098790794322,-0.0312397113262394,L2Norm.3
0.318175425421999,0.141495194022622,L2Norm.4
0.425968732272281,0.237388892385162,L2Norm.5
0.425968732272281,0.0598528501492623,L2Norm.6
0.425968732272281,0.193862142045091,L2Norm.7
0.425968732272281,0.179421646510288,L2Norm.8
0.425968732272281,0.128299973174225,L2Norm.9
0.379076254553273,0.254272313596392,L2Norm.10
0.263421677351106,-0.146837434062681,L2Norm.11
0.425968732272281,0.119090669253448,L2Norm.12
0.400161468665996,-0.146487387551903,L2Norm.13
0.425968732272281,-0.086911920863151,L2Norm.14
0.425968732272281,0.0153970728679363,L2Norm.15
0.425968732272281,0.000652447134495382,L2Norm.16
0.165683704298359,-0.257140342090727,L2Norm.17
0.274088367704952,-0.394737737896914,L2Norm.18
0.425968732272281,0.00463350167504969,L2Norm.19
0.371971032242905,-0.278821436418913,L2Norm.20
0.271682138286629,-0.339199105422852,L2Norm.21
0.362548033583196,0.0134787743165354,L2Norm.22
0.425968732272281,0.135354480846206,L2Norm.23
0.425968732272281,-0.216157436814271,L2Norm.24
0.425968732272281,-0.0829192143186885,L2Norm.25
0.303483643331253,-0.426468988022582,L2Norm.26
0.425968732272281,0.223516775287946,L2Norm.27
0.425968732272281,0.090587000509268,L2Norm.28
0.371971032242905,-0.347753038630657,L2Norm.29
0.303907489743265,-0.161820497084881,L2Norm.30
0.269490384051583,-0.286579603968343,L2Norm.31
0.176747293141007,-0.473299739921562,L2Norm.32
0.365913624730821,-0.206046632286636,L2Norm.33
0.371971032242905,-0.34871052115311,L2Norm.34
0.418480710879731,-0.424548901768855,L2Norm.35
0.371971032242905,-0.64575698478523,L2Norm.36
0.362548033583196,-0.384220739379706,L2Norm.37
0.239650195763955,-0.459089525016319,L2Norm.38
0.425968732272281,-0.0237072512958776,L2Norm.39
0.425968732272281,-0.0706781281743106,L2Norm.40
0.425968732272281,-0.362223341087449,L2Norm.41
0.425968732272281,-0.14545875524818,L2Norm.42
0.362548033583196,-0.587758903766897,L2Norm.43
0.425968732272281,-0.182772643251917,L2Norm.44
0.378254327313777,-0.0643398952123899,L2Norm.45
0.425968732272281,-0.0337063455388441,L2Norm.46
0.425968732272281,-0.121242702255414,L2Norm.47
0.425968732272281,-0.195060220016371,L2Norm.48
0.378254327313777,0.0379600261213628,L2Norm.49
0.294758486220646,-0.329576756901939,L2Norm.50
0.180906655349566,-0.510437675496086,L2Norm.51
0.361510743045363,-0.337823185918161,L2Norm.52
0.418480710879731,-0.0689770299216294,L2Norm.53
0.425968732272281,0.284680798602668,L2Norm.54
0.425968732272281,-0.0338252226693066,L2Norm.55
0.425968732272281,0.156149453453092,L2Norm.56
0.371971032242905,-0.125650105664838,L2Norm.57
0.410697239129787,-0.090402406162453,L2Norm.58
0.358489392627783,-0.147906799667301,L2Norm.59
0.410697239129787,-0.182089167606344,L2Norm.60
0.425968732272281,-0.0390685142746242,L2Norm.61
0.418480710879731,0.228732448030356,L2Norm.62
0.310125500498511,-0.248731989540315,L2Norm.63
0.425968732272281,0.00307329569205886,L2Norm.64
0.425968732272281,0.0848857198226348,L2Norm.65
0.418480710879731,0.0527108305255276,L2Norm.66
0.418480710879731,0.289194018806457,L2Norm.67
0.425968732272281,-0.00222179113064221,L2Norm.68
0.425968732272281,0.200781326579938,L2Norm.69
0.425968732272281,-0.0807624742065454,L2Norm.70
0.425968732272281,-0.00334513444854032,L2Norm.71
0.425968732272281,0.0620202852388896,L2Norm.72
0.425968732272281,0.142209989517989,L2Norm.73
0.425968732272281,0.0551870995299559,L2Norm.74
0.384185318808885,-0.147622574632018,L2Norm.75
0.425968732272281,0.166088415287874,L2Norm.76
0.358205390089191,-0.16074573697015,L2Norm.77
0.266152707204942,-0.253309296743543,L2Norm.78
0.425968732272281,0.104347122276872,L2Norm.79
0.425968732272281,-0.0489535311956902,L2Norm.80
0.425968732272281,-0.213789692093932,L2Norm.81
0.425968732272281,0.197429406922462,L2Norm.82
0.425968732272281,0.0601842764452349,L2Norm.83
0.425968732272281,-0.0819182394084959,L2Norm.84
0.425968732272281,-0.018100965359917,L2Norm.85
0.425968732272281,0.164271344308535,L2Norm.86
0.358489392627783,-0.116779622142822,L2Norm.87
0.425968732272281,0.125404375652474,L2Norm.88
0.362548033583196,-0.131058698144192,L2Norm.89
0.371971032242905,-0.25807964670447,L2Norm.90
0.371971032242905,-0.17036730144708,L2Norm.91
0.425968732272281,0.199462803698385,L2Norm.92
0.425968732272281,0.288446429862751,L2Norm.93
0.378254327313777,0.0323325125545189,L2Norm.94
0.308402120951243,0.144006338183051,L2Norm.95
0.425968732272281,0.246293559667107,L2Norm.96
0.425968732272281,0.141473762917173,L2Norm.97
0.425968732272281,-0.0244845964668146,L2Norm.98
0.358205390089191,-0.122193014142685,L2Norm.99
0.358205390089191,-0.0967309991788302,L2Norm.100
0.425968732272281,0.0622550125513472,L2Norm.101
0.425968732272281,0.165150902040977,L2Norm.102
0.368276402058395,0.105313854384582,L2Norm.103
0.382700042115301,-0.0625740822118229,L2Norm.104
