"","X.log10P","log2FC","feature","SigDiff","norm"
"L2Norm.2",124.251037138744,0.618825357382328,"L2Norm.2","UP",124.252578141769
"L2Norm.3",52.732828271597,0.664595235682571,"L2Norm.3","UP",52.7370160736179
"L2Norm.7",55.1944991418416,0.641473943745954,"L2Norm.7","UP",55.1982266412541
