X.log10P,log2FC,feature
1.5016894462104,0.596238376691771,inact.1
2.87667113307365,0.721771088513219,inadur.1
1.40627100129209,0.576205690379099,inadist.1
1.40627100129209,0.61126765665643,smlct.1
1.33684482658723,0.427060075203976,smldur.1
0.686356615444131,0.791749493762878,smldist.1
0.0508971302130862,0.473068802826038,larct.1
0.198767096868713,0.092750941734265,lardur.1
0.00252379170064824,0.123140115465398,lardist.1
0.313906259830001,-0.0627543357923663,inact.2
0.969383587720282,0.194343351729719,inadur.2
0.0473377026687875,0.0900330634979383,inadist.2
0.457447819254674,-0.279311534911049,smlct.2
0.492465708831194,-0.162599220237239,smldur.2
0.847736026116201,-0.0597400007049238,smldist.2
0.580940018538306,-0.370456924680799,larct.2
0.546788415823216,-0.13083271001551,lardur.2
0.411728293157671,-0.0728573662580944,lardist.2
0.541751483107511,-0.099030347965217,inact.3
0.313906259830001,-0.148088886646215,inadur.3
0.132713133473678,-0.024214652563311,inadist.3
0.0725260842101678,0.0307865902209816,smlct.3
0.182161350153393,-0.0714925033857761,smldur.3
1.24412514432751,-0.160131833493856,smldist.3
0.539556133074916,-0.0457476860374915,larct.3
0.402126605421227,0.0389839891584293,lardur.3
0.323640206288496,0.0325099637841812,lardist.3
0.405205560283369,-0.0192744675077763,inact.4
0.151616126420844,-0.0975421341939115,inadur.4
0.343194829233722,0.0197251619872711,inadist.4
0.0219478243745462,0.0523244508347893,smlct.4
0.0872601376088162,0.0628848105582689,smldur.4
0.676956460414564,-0.0110562482555755,smldist.4
0.493929905908159,0.10395766814902,larct.4
0.456378530991802,-0.00629140116411485,lardur.4
0.26643720991018,0.0754543800251677,lardist.4
0.2655110067713,-0.00785057525785971,inact.5
0.127920130664953,0.163007879412473,inadur.5
0.000565435097695256,0.111679800360086,inadist.5
0.216166010212071,0.16817302935041,smlct.5
0.0642253298652565,0.0639859271638576,smldur.5
0.489742031761473,-0.0105702103345005,smldist.5
0.394998323131134,0.0987489555630953,larct.5
0.524791939924618,-0.0287112890358304,lardur.5
0.393071713638141,-0.0277767091725891,lardist.5
0.457447819254674,-0.00778001547836184,inact.6
0.163640928416235,-0.101050124737918,inadur.6
0.382785139496175,-0.0823471192718785,inadist.6
0.156533195501661,0.112801828065828,smlct.6
0.14410041231218,0.0515798967169051,smldur.6
0.935848111915228,0.0286154692136126,smldist.6
0.554999496003029,-0.127632629172308,larct.6
0.431108371924692,-0.00609214800535333,lardur.6
0.315529792494214,-0.0273908205950521,lardist.6
0.419306695296263,-0.0210305527928972,inact.7
0.203484584617341,0.0123227472218413,inadur.7
0.235154216395894,-0.0135093703054312,inadist.7
0.0287633634403245,0.0150915344633725,smlct.7
0.00479561629396423,0.0390662582583732,smldur.7
0.571667972284795,0.0146693823460782,smldist.7
0.457447819254674,0.0246340098722179,larct.7
0.455710037156442,0.0171612092291457,lardur.7
0.313906259830001,0.074383407493452,lardist.7
0.127920130664953,0.180467806190375,inact.8
0.0757077940826412,0.0751995142185947,inadur.8
0.0089187491991842,0.117219390789995,inadist.8
0.0344104889819203,0.168173029350409,smlct.8
0.00821510510454797,0.105120824387171,smldur.8
0.646595836970856,0.0679363085699857,smldist.8
0.676956460414564,-0.399476188838744,larct.8
0.594531963074171,-0.0990815195386869,lardur.8
0.428798022291145,-0.0906928938386495,lardist.8
0.144600016860053,0.17554535089218,inact.9
0.0505329208837437,-0.0680042526658314,inadur.9
0.131035843514929,0.00988759732466634,inadist.9
0.0184834056940131,0.173146696297595,smlct.9
0.0528655785588144,0.0534601011284181,smldur.9
0.601988655177687,0.0829830968392302,smldist.9
0.601988655177687,-0.127632629172308,larct.9
0.524791939924618,-0.0301315686362075,lardur.9
0.452987575002943,-0.0505994217339072,lardist.9
0.296212099386333,-0.0601963269309113,inact.10
0.098662474759313,-0.0496112495112278,inadur.10
0.000499847052114512,0.0453002265814857,inadist.10
0.286789556549371,0.259333876931197,smlct.10
0.201957069044481,0.0869723320330332,smldur.10
0.580963302234258,0.0655462835145261,smldist.10
0.197287373519831,0.211791786351758,larct.10
0.278479270770993,0.107335496243503,lardur.10
0.14410041231218,0.133035887318271,lardist.10
