X.log10P,log2FC,feature
4.81616096294358,0.567559834712104,distance.1
0.117734263364919,-0.00153411351451707,distance.2
0.412522008545035,-0.0607811225029643,distance.3
0.276407520755649,0.0214032929710418,distance.4
0.0782581968544461,0.0353191984259048,distance.5
0.41280728621431,-0.0299380142214311,distance.6
0.199918544227563,0.0169191946689982,distance.7
0.0693235506053048,0.0510869065032317,distance.8
0.104792161885377,0.0225590364059067,distance.9
0.0208263283159195,0.073287022314562,distance.10
0.276407520755649,-0.116866905928019,distance.11
0.443157667613296,-0.0851533814044179,distance.12
0.499082486512845,-0.0887026394297037,distance.13
0.181078262962697,-0.0342499986194968,distance.14
0.492144128304169,-0.0538929706837638,distance.15
0.30058018259228,-0.040945277050679,distance.16
0.638002499595039,-0.175633922127342,distance.17
0.65856547542186,-0.167303172320506,distance.18
0.455931955649724,-0.0834511521976279,distance.19
0.571055709964426,-0.162078063108131,distance.20
0.506829085862811,-0.130441288307216,distance.21
0.65856547542186,-0.0878204054109375,distance.22
0.292300164405085,-0.0163365270341859,distance.23
0.536708851180795,-0.125272806714559,distance.24
0.499082486512845,-0.100044160043078,distance.25
0.589444741829209,-0.170099973351859,distance.26
0.461977916149063,-0.0415085303036228,distance.27
0.443157667613296,-0.0274255532352392,distance.28
0.589444741829209,-0.15747616424109,distance.29
0.506829085862811,-0.0798403898713873,distance.30
0.536708851180795,-0.15130239079538,distance.31
0.587941391036399,-0.164293090675021,distance.32
0.506829085862811,-0.116924653544863,distance.33
0.571055709964426,-0.15130239079538,distance.34
0.572676213642753,-0.247917912876572,distance.35
0.589444741829209,-0.180327156119447,distance.36
0.589444741829209,-0.210805905202109,distance.37
0.65856547542186,-0.140834133921086,distance.38
0.510322708336301,-0.0613582611836189,distance.39
0.41280728621431,-0.0626512466992915,distance.40
0.65856547542186,-0.164704565528363,distance.41
0.587941391036399,-0.0962760498757169,distance.42
0.65856547542186,-0.259590380672642,distance.43
0.510322708336301,-0.131342691520311,distance.44
0.571055709964426,-0.0812138006664319,distance.45
0.571055709964426,-0.0525165158142413,distance.46
0.571055709964426,-0.0920950034952624,distance.47
0.571055709964426,-0.0659810855465593,distance.48
0.455931955649724,-0.0707980984565461,distance.49
0.571055709964426,-0.1659945484362,distance.50
0.589444741829209,-0.195253908780593,distance.51
0.510322708336301,-0.171276567742466,distance.52
0.45355225390437,-0.0774482379714813,distance.53
0.381696736134913,-0.05951585849432,distance.54
0.555392149102833,-0.087534098246884,distance.55
0.443157667613296,-0.0267619555178361,distance.56
0.443157667613296,-0.0615700392452188,distance.57
0.443157667613296,-0.0803841405774725,distance.58
0.571055709964426,-0.104426952981952,distance.59
0.455931955649724,-0.0423830804356664,distance.60
0.41280728621431,-0.0373824030283559,distance.61
0.129773233453917,0.0320808917217856,distance.62
0.571055709964426,-0.164999557875388,distance.63
0.443157667613296,-0.0451506330224318,distance.64
0.344368012101243,-0.056105896146269,distance.65
0.443157667613296,-0.0758578206469259,distance.66
0.117734263364919,0.0500860356591126,distance.67
0.332701024946051,-0.0352731084318604,distance.68
0.330484975002257,-0.00181274042866652,distance.69
0.506829085862811,-0.0705570422802152,distance.70
0.443157667613296,-0.0546109557380295,distance.71
0.510322708336301,-0.0662076574115217,distance.72
0.344368012101243,0.0271986738221662,distance.73
0.354474314890947,-0.0264872864629969,distance.74
0.230138821770737,-0.0653105813004169,distance.75
0.433701182502972,0.00310450158408457,distance.76
0.443157667613296,-0.0766447777691834,distance.77
0.540183603488808,-0.0834511521976279,distance.78
0.267821717473391,-0.0369920341643721,distance.79
0.253592151511786,-0.0735910340644183,distance.80
0.589444741829209,-0.116987408572439,distance.81
0.587941391036399,-0.0415085303036225,distance.82
0.41280728621431,-0.0364840511739087,distance.83
0.443157667613296,-0.0750868631998313,distance.84
0.271774797139874,-0.02129656292389,distance.85
0.267606240177031,0.012443204993489,distance.86
0.41280728621431,-0.0967487393917083,distance.87
0.271774797139874,-0.0312627304973586,distance.88
0.41280728621431,-0.079303947876073,distance.89
0.571055709964426,-0.175633922127342,distance.90
0.571055709964426,-0.0831740437065767,distance.91
0.443157667613296,-0.0321378441363679,distance.92
0.276407520755649,0.0441496241954853,distance.93
0.3812589973028,0.003073176380093,distance.94
0.41280728621431,0.0314483249397854,distance.95
0.571055709964426,0.0455982598084601,distance.96
0.455931955649724,0.00793892809521717,distance.97
0.571055709964426,-0.0707980984565458,distance.98
0.332701024946051,-0.140718065774337,distance.99
0.510322708336301,-0.050055535778722,distance.100
0.27021071264175,-0.0538929706837638,distance.101
0.443157667613296,-0.0212248104930172,distance.102
0.211341112499851,-0.0810217304319052,distance.103
0.329993691599298,-0.115010933611031,distance.104
0.443157667613296,-0.105908732551958,distance.105
0.287201796240412,-0.0162817635405684,distance.106
0.443157667613296,0.0496001654541959,distance.107
0.287201796240412,0.00295395190333569,distance.108
0.230138821770737,-0.0346972907117508,distance.109
0.129773233453917,0.0308402224602153,distance.110
0.3812589973028,-0.0721536508023733,distance.111
0.506829085862811,-0.150856109107145,distance.112
0.279543945996981,-0.0394723194588471,distance.113
0.571055709964426,-0.119540589095896,distance.114
0.287201796240412,-0.0485917229745414,distance.115
0.571055709964426,-0.152333882029213,distance.116
0.571055709964426,-0.123251658355212,distance.117
0.271536533805464,-0.00174114173827718,distance.118
0.129773233453917,0.0121643104310136,distance.119
0.208169052325164,-0.0066093701732274,distance.120
0.45355225390437,-0.0961155463368372,distance.121
0.571055709964426,-0.116536828773462,distance.122
0.571055709964426,-0.13112085990769,distance.123
0.529312855285747,-0.0398634203589229,distance.124
0.344368012101243,-0.0964311030587343,distance.125
0.41280728621431,-0.0112383339578148,distance.126
0.443157667613296,-0.0251943863998436,distance.127
0.238059207039301,0.00310450158408457,distance.128
0.0502579917873516,0.0401398427385982,distance.129
0.064631741772506,-0.0434099917797471,distance.130
0.139944645233258,0.0673927189382643,distance.131
0.14086860717335,-0.12072429635333,distance.132
0.443157667613296,-0.0848648690011012,distance.133
0.316773737050879,-0.0583478605534328,distance.134
0.41280728621431,-0.0621526174401882,distance.135
0.0858080069899528,-0.0396018308852918,distance.136
0.350128229481685,-0.0509075262695039,distance.137
0.41280728621431,-0.0066093701732274,distance.138
0.208169052325164,0.0127780225972497,distance.139
0.0693235506053048,0.0602966678730431,distance.140
0.248236957459494,0.0220383945266392,distance.141
0.41280728621431,-0.0752587409858577,distance.142
0.41280728621431,-0.0585393323881248,distance.143
0.344368012101243,-0.0393436524161116,distance.144
0.126217955447473,-0.0291771888940828,distance.145
0.327852731462727,-0.0114647506305821,distance.146
0.284077749537298,-0.0313695043626159,distance.147
0.285629344310304,0.0494402969659153,distance.148
0.0428030949366216,0.0604968369163781,distance.149
0.139944645233258,0.0271986738221662,distance.150
0.357252919902821,-0.0834511521976279,distance.151
0.41280728621431,0.0892442187163554,distance.152
0.332701024946051,0.0712042578521247,distance.153
0.00217691925427455,0.0550671277625057,distance.154
0.477598763818789,-0.0777370293509629,distance.155
0.129773233453917,0.0541782126951334,distance.156
0.287201796240412,-0.020466304677401,distance.157
0.186291959728451,-0.0568600332438402,distance.158
0.213847191983539,-0.079227831662453,distance.159
0.213039228859349,0.0860990800351834,distance.160
0.276407520755649,-0.066269963656987,distance.161
0.208169052325164,-0.00656535404518468,distance.162
0.41280728621431,-0.153295004526213,distance.163
0.230138821770737,-0.0202037534239542,distance.164
0.148908289338897,0.053148680880473,distance.165
0.329993691599298,-0.0566793736641178,distance.166
0.445052553317679,-0.0295527053940869,distance.167
0.064631741772506,0.0620919522035948,distance.168
0.443157667613296,-0.0502587919441124,distance.169
0.443157667613296,-0.0436907175296757,distance.170
0.276407520755649,-0.0378626169949233,distance.171
0.412522008545035,-0.14272621354931,distance.172
0.589444741829209,-0.101893850225763,distance.173
0.208169052325164,-0.00613626713774905,distance.174
0.318470098950174,-0.0155022610980757,distance.175
0.139944645233258,0.0168106721353745,distance.176
0.0332242606054447,0.0400108905368204,distance.177
0.571055709964426,-0.0863883894758783,distance.178
0.571055709964426,-0.111365559769793,distance.179
0.064631741772506,0.0437328141892061,distance.180
0.279543945996981,-0.0442632050827496,distance.181
0.357128319562875,-0.0109149946747594,distance.182
0.344368012101243,-0.0334943761207728,distance.183
0.297938918686839,-0.0767987250818589,distance.184
0.443157667613296,-0.0382223225245127,distance.185
0.287201796240412,-0.00165922282546814,distance.186
0.241153904811743,0.0396289580085515,distance.187
0.23791806081252,0.0809145300616028,distance.188
0.111660302568612,0.0834263114638547,distance.189
0.104565571596075,-0.0383437480840835,distance.190
