"","MeanDecreaseGini"
"inact.1",0.290764437329376
"inadur.1",0.229004992831971
"inadist.1",0.272442369624933
"smlct.1",0.0666934876414158
"smldur.1",0.172914754863658
"smldist.1",0.0836697261486735
"larct.1",0.147771694334035
"lardur.1",0.753137896947153
"lardist.1",0.173362638046155
"inact.2",0.0689770120016779
"inadur.2",0.0799709235644685
"inadist.2",0.0438128780789009
"smlct.2",0.828852732510211
"smldur.2",0.144132261174247
"smldist.2",1.2800197877867
"larct.2",1.46132733802736
"lardur.2",1.40810973007951
"lardist.2",1.7329893954033
"inact.3",0.0140398273221
"inadur.3",0.168445601419271
"inadist.3",0.0932259867426319
"smlct.3",0.0468113328252572
"smldur.3",0.13624660141295
"smldist.3",0.239976955376558
"larct.3",0.675137260232235
"lardur.3",1.80426559229419
"lardist.3",0.743922546527923
"inact.4",0.00989090909090909
"inadur.4",0.119027769748534
"inadist.4",0.0205470085470085
"smlct.4",0.0380121516229616
"smldur.4",0.0282285714035785
"smldist.4",0.234904093423527
"larct.4",0.0852746329061232
"lardur.4",0.339730663266591
"lardist.4",0.0779962162214227
"inact.5",0.0320910747685005
"inadur.5",0.0448934690501511
"inadist.5",0.0353856381931702
"smlct.5",0.0224928682428683
"smldur.5",0.0847981209732368
"smldist.5",0.128131160864021
"larct.5",0.31537003476123
"lardur.5",0.152369209200531
"lardist.5",0.201437338062729
"inact.6",0.0316148851148851
"inadur.6",0.100396756832883
"inadist.6",0.0412160215074938
"smlct.6",0.0121675013237257
"smldur.6",0.100718918253632
"smldist.6",0.114585848105345
"larct.6",0.0498167140886548
"lardur.6",0.00698181818181818
"lardist.6",0.0245655848993545
"inact.7",0.0214799145299145
"inadur.7",0.0857673393240358
"inadist.7",0.0317580976103716
"smlct.7",0.0650277099122971
"smldur.7",0.0886556405808494
"smldist.7",0.412959279091217
"larct.7",0.35577105122996
"lardur.7",0.69931614971284
"lardist.7",0.724190508184971
"inact.8",0.0652390461312648
"inadur.8",0.0962762275728931
"inadist.8",0.012
"smlct.8",0.0775159368524256
"smldur.8",0.0271478701909549
"smldist.8",0.0356648233486943
"larct.8",0.0493351835664927
"lardur.8",0.433149275039454
"lardist.8",0.374015446366895
"inact.9",0.0215981990969904
"inadur.9",0.0193267973856209
"inadist.9",0.00266666666666667
"smlct.9",0.0108751879699248
"smldur.9",0.0346130708274339
"smldist.9",0.000749367088607613
"larct.9",0.0975060081496363
"lardur.9",0.0373304195804196
"lardist.9",0.0296326567187443
"inact.10",0.05888020809465
"inadur.10",0.0223153931239443
"inadist.10",0.002
"smlct.10",0.0407939170140957
"smldur.10",0.0186676089398543
"smldist.10",0.0474409829241644
"larct.10",0.0903738422807039
"lardur.10",0.314758235783124
"lardist.10",0.285270616502567
"inact.11",0.284981351934221
"inadur.11",0.0218670293758529
